2024/08/03 (10:00:42) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error

2024/08/06 (02:38:32) | ===> btop++ v.1.3.2
2024/08/06 (02:38:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (02:39:09) | ===> btop++ v.1.3.2
2024/08/06 (02:39:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/06 (02:39:28) | ===> btop++ v.1.3.2
2024/08/06 (02:39:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/08 (23:43:40) | ===> btop++ v.1.3.2
2024/08/08 (23:43:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (10:33:59) | ===> btop++ v.1.3.2
2024/08/15 (10:33:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/15 (14:49:39) | ===> btop++ v.1.3.2
2024/08/15 (14:49:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (10:46:39) | ===> btop++ v.1.3.2
2024/08/17 (10:46:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (10:26:47) | ===> btop++ v.1.3.2
2024/08/18 (10:26:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (15:30:20) | ===> btop++ v.1.3.2
2024/08/18 (15:30:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
